company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,Dec 2012,+,-,-,Reinvestor
ABB,Mar 2014,+,-,-,Reinvestor
ABB,Mar 2015,+,-,-,Reinvestor
ABB,Mar 2016,+,-,-,Reinvestor
ABB,Mar 2017,+,-,-,Reinvestor
ABB,Mar 2018,+,-,-,Reinvestor
ABB,Mar 2019,+,-,-,Reinvestor
ABB,Mar 2020,+,-,-,Reinvestor
ABB,Mar 2021,+,-,-,Reinvestor
ABB,Mar 2022,+,-,-,Reinvestor
ABB,Mar 2023,+,-,-,Reinvestor
ABB,Mar 2024,+,-,-,Reinvestor
ABB,Mar 2014,+,+,+,Cash Accumulator
ABB,Mar 2015,-,-,+,Growth Funded by Debt
ABB,Mar 2016,+,-,-,Reinvestor
ABB,Mar 2017,+,-,-,Reinvestor
ABB,Mar 2018,+,-,+,Shareholder Returns
ABB,Mar 2019,+,-,+,Shareholder Returns
ABB,Mar 2020,+,-,+,Shareholder Returns
ABB,Mar 2021,+,-,-,Reinvestor
ABB,Mar 2022,+,-,-,Reinvestor
ABB,Mar 2023,+,-,+,Shareholder Returns
ABB,Mar 2024,+,-,-,Reinvestor
ADANIENSOL,Mar 2014,+,+,+,Cash Accumulator
ADANIENSOL,Mar 2015,-,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2016,+,-,-,Reinvestor
ADANIENSOL,Mar 2017,+,-,-,Reinvestor
ADANIENSOL,Mar 2018,+,-,+,Shareholder Returns
ADANIENSOL,Mar 2019,+,-,+,Shareholder Returns
ADANIENSOL,Mar 2020,+,-,+,Shareholder Returns
ADANIENSOL,Mar 2021,+,-,-,Reinvestor
ADANIENSOL,Mar 2022,+,-,-,Reinvestor
ADANIENSOL,Mar 2023,+,-,+,Shareholder Returns
ADANIENSOL,Mar 2024,+,-,-,Reinvestor
ADANIENT,Mar 2013,+,-,+,Shareholder Returns
ADANIENT,Mar 2014,+,-,-,Reinvestor
ADANIENT,Mar 2015,+,-,+,Shareholder Returns
ADANIENT,Mar 2016,+,-,-,Reinvestor
ADANIENT,Mar 2017,+,-,+,Shareholder Returns
ADANIENT,Mar 2018,+,-,+,Shareholder Returns
ADANIENT,Mar 2019,+,+,-,Liquidating Assets
ADANIENT,Mar 2020,+,-,-,Reinvestor
ADANIENT,Mar 2021,+,-,+,Shareholder Returns
ADANIENT,Mar 2022,+,-,+,Shareholder Returns
ADANIENT,Mar 2023,+,-,-,Reinvestor
ADANIENT,Mar 2024,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2017,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2018,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2019,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2020,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2021,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2022,+,-,+,Shareholder Returns
ADANIGREEN,Mar 2023,+,-,-,Reinvestor
ADANIGREEN,Mar 2024,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2013,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2013,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2014,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2014,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2015,+,-,-,Reinvestor
ADANIPORTS,Mar 2015,+,-,-,Reinvestor
ADANIPORTS,Mar 2016,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2016,+,-,+,Shareholder Returns
ADANIPORTS,Mar 2017,+,-,-,Reinvestor
